iter	Passed	Remaining
0	17	11319
1	33	11134
2	62	13572
3	80	13253
4	100	13116
5	118	12920
6	138	12875
7	157	12789
8	174	12622
9	192	12492
10	221	13046
11	240	12951
12	258	12829
13	277	12774
14	297	12780
15	320	12872
16	356	13481
17	382	13624
18	405	13671
19	429	13736
20	461	14029
21	483	14003
22	506	14017
23	538	14240
24	558	14159
25	578	14075
26	598	13998
27	630	14202
28	651	14158
29	668	14022
30	686	13903
31	703	13785
32	721	13677
33	738	13574
34	756	13486
35	774	13397
36	791	13304
37	808	13220
38	826	13135
39	842	13044
40	859	12961
41	876	12879
42	894	12807
43	911	12742
44	929	12679
45	946	12611
46	977	12729
47	995	12666
48	1012	12608
49	1030	12546
50	1047	12489
51	1065	12440
52	1085	12409
53	1103	12359
54	1120	12308
55	1138	12262
56	1158	12235
57	1168	12106
58	1188	12084
59	1206	12047
60	1226	12020
61	1244	11981
62	1261	11937
63	1292	12014
64	1310	11977
65	1328	11940
66	1346	11897
67	1363	11849
68	1380	11806
69	1397	11762
70	1414	11717
71	1432	11681
72	1451	11648
73	1469	11613
74	1487	11582
75	1506	11554
76	1524	11521
77	1541	11481
78	1559	11449
79	1577	11418
80	1596	11389
81	1614	11359
82	1631	11322
83	1649	11287
84	1666	11255
85	1685	11229
86	1704	11203
87	1722	11176
88	1739	11141
89	1758	11115
90	1776	11086
91	1794	11057
92	1814	11045
93	1834	11027
94	1853	11001
95	1871	10975
96	1889	10949
97	1907	10917
98	1921	10870
99	1938	10838
100	1956	10811
101	1976	10793
102	1995	10771
103	2014	10750
104	2034	10732
105	2065	10777
106	2085	10757
107	2102	10725
108	2119	10696
109	2137	10666
110	2157	10649
111	2170	10602
112	2190	10586
113	2208	10558
114	2226	10531
115	2244	10505
116	2263	10485
117	2270	10408
118	2287	10381
119	2305	10354
120	2323	10330
121	2353	10359
122	2371	10334
123	2390	10312
124	2408	10287
125	2426	10264
126	2445	10242
127	2463	10221
128	2483	10201
129	2500	10175
130	2518	10149
131	2537	10129
132	2555	10108
133	2574	10086
134	2594	10069
135	2623	10087
136	2641	10064
137	2656	10029
138	2675	10009
139	2693	9984
140	2710	9959
141	2719	9903
142	2737	9878
143	2756	9857
144	2773	9832
145	2791	9808
146	2810	9790
147	2829	9770
148	2849	9752
149	2879	9771
150	2897	9747
151	2915	9726
152	2932	9699
153	2950	9675
154	2967	9650
155	2985	9624
156	3002	9600
157	3020	9576
158	3037	9552
159	3055	9528
160	3072	9504
161	3093	9489
162	3111	9468
163	3129	9444
164	3146	9421
165	3166	9403
166	3185	9385
167	3214	9393
168	3228	9361
169	3246	9339
170	3264	9316
171	3279	9284
172	3296	9261
173	3315	9241
174	3332	9217
175	3352	9199
176	3371	9181
177	3389	9158
178	3406	9134
179	3423	9111
180	3441	9087
181	3459	9065
182	3476	9043
183	3494	9022
184	3525	9033
185	3543	9010
186	3561	8990
187	3579	8968
188	3597	8946
189	3614	8922
190	3632	8901
191	3653	8885
192	3673	8870
193	3694	8855
194	3712	8833
195	3729	8810
196	3746	8786
197	3763	8762
198	3781	8740
199	3798	8718
200	3816	8697
201	3836	8679
202	3856	8662
203	3874	8641
204	3892	8619
205	3909	8597
206	3927	8575
207	3945	8554
208	3962	8531
209	3980	8510
210	3997	8487
211	4014	8465
212	4032	8443
213	4050	8421
214	4068	8401
215	4086	8381
216	4103	8358
217	4120	8336
218	4132	8303
219	4149	8280
220	4167	8258
221	4185	8238
222	4204	8219
223	4223	8201
224	4253	8203
225	4270	8182
226	4288	8160
227	4306	8140
228	4323	8118
229	4341	8097
230	4359	8077
231	4378	8058
232	4396	8037
233	4413	8016
234	4431	7994
235	4448	7973
236	4466	7952
237	4496	7954
238	4514	7933
239	4532	7912
240	4550	7891
241	4568	7871
242	4585	7849
243	4602	7828
244	4620	7807
245	4629	7772
246	4647	7752
247	4677	7752
248	4696	7732
249	4714	7713
250	4724	7680
251	4736	7650
252	4755	7630
253	4773	7611
254	4797	7600
255	4823	7592
256	4849	7584
257	4873	7574
258	4896	7562
259	4917	7547
260	4936	7527
261	4954	7506
262	4971	7486
263	4989	7465
264	5007	7445
265	5026	7426
266	5043	7405
267	5061	7384
268	5078	7363
269	5101	7350
270	5129	7343
271	5150	7328
272	5191	7339
273	5223	7339
274	5268	7356
275	5309	7367
276	5333	7355
277	5366	7354
278	5387	7337
279	5405	7316
280	5422	7294
281	5439	7272
282	5458	7252
283	5476	7231
284	5494	7210
285	5512	7189
286	5530	7168
287	5548	7147
288	5566	7126
289	5584	7105
290	5598	7080
291	5616	7058
292	5633	7037
293	5645	7009
294	5663	6988
295	5681	6967
296	5699	6946
297	5717	6926
298	5727	6895
299	5744	6873
300	5761	6852
301	5779	6831
302	5797	6811
303	5814	6790
304	5832	6769
305	5849	6748
306	5868	6729
307	5889	6711
308	5906	6690
309	5924	6669
310	5941	6647
311	5959	6628
312	5976	6606
313	5994	6586
314	6012	6565
315	6029	6544
316	6046	6523
317	6064	6502
318	6082	6483
319	6100	6462
320	6117	6441
321	6136	6422
322	6154	6401
323	6171	6380
324	6188	6360
325	6207	6340
326	6224	6320
327	6243	6300
328	6261	6280
329	6279	6260
330	6297	6240
331	6316	6221
332	6334	6201
333	6353	6181
334	6361	6152
335	6379	6132
336	6397	6112
337	6415	6092
338	6432	6072
339	6450	6051
340	6467	6031
341	6485	6011
342	6504	5992
343	6522	5972
344	6540	5952
345	6559	5933
346	6568	5906
347	6587	5886
348	6602	5864
349	6620	5844
350	6637	5824
351	6650	5800
352	6668	5780
353	6686	5760
354	6704	5741
355	6723	5722
356	6740	5702
357	6760	5684
358	6778	5664
359	6796	5644
360	6814	5625
361	6832	5605
362	6850	5586
363	6867	5565
364	6887	5548
365	6905	5528
366	6923	5508
367	6942	5489
368	6953	5464
369	6971	5445
370	6988	5425
371	7018	5414
372	7036	5395
373	7054	5375
374	7073	5357
375	7092	5337
376	7109	5317
377	7127	5298
378	7145	5279
379	7162	5259
380	7193	5248
381	7222	5237
382	7241	5218
383	7258	5198
384	7276	5178
385	7295	5159
386	7314	5140
387	7333	5121
388	7351	5102
389	7371	5084
390	7390	5065
391	7408	5045
392	7426	5026
393	7443	5006
394	7460	4986
395	7479	4967
396	7497	4947
397	7516	4929
398	7545	4917
399	7563	4897
400	7582	4878
401	7600	4858
402	7618	4839
403	7635	4819
404	7653	4799
405	7670	4779
406	7687	4760
407	7705	4740
408	7723	4721
409	7741	4701
410	7761	4683
411	7778	4663
412	7807	4650
413	7825	4630
414	7843	4611
415	7860	4591
416	7878	4572
417	7895	4552
418	7927	4540
419	7944	4520
420	7962	4501
421	7980	4482
422	8010	4469
423	8028	4449
424	8046	4430
425	8063	4410
426	8082	4391
427	8099	4371
428	8117	4352
429	8135	4332
430	8154	4313
431	8172	4294
432	8190	4275
433	8220	4261
434	8232	4239
435	8248	4218
436	8266	4199
437	8285	4180
438	8319	4169
439	8337	4149
440	8355	4130
441	8385	4116
442	8397	4094
443	8415	4075
444	8433	4055
445	8452	4036
446	8461	4013
447	8491	3999
448	8509	3979
449	8526	3960
450	8543	3940
451	8562	3921
452	8577	3900
453	8591	3879
454	8609	3860
455	8626	3840
456	8644	3821
457	8673	3806
458	8691	3787
459	8709	3767
460	8727	3748
461	8739	3726
462	8756	3706
463	8775	3687
464	8793	3668
465	8810	3649
466	8828	3629
467	8838	3607
468	8856	3587
469	8873	3568
470	8891	3549
471	8909	3529
472	8927	3510
473	8939	3489
474	8958	3470
475	8977	3451
476	9010	3437
477	9029	3418
478	9047	3399
479	9062	3379
480	9080	3360
481	9099	3341
482	9109	3319
483	9127	3300
484	9145	3281
485	9164	3262
486	9181	3242
487	9211	3227
488	9238	3211
489	9257	3192
490	9274	3173
491	9292	3154
492	9310	3134
493	9328	3115
494	9340	3094
495	9370	3079
496	9388	3060
497	9406	3041
498	9424	3021
499	9441	3002
500	9458	2983
501	9477	2963
502	9496	2945
503	9513	2925
504	9531	2906
505	9549	2887
506	9567	2868
507	9584	2849
508	9614	2833
509	9631	2813
510	9650	2794
511	9668	2776
512	9686	2756
513	9716	2740
514	9733	2721
515	9751	2702
516	9761	2681
517	9780	2662
518	9798	2643
519	9816	2623
520	9833	2604
521	9850	2585
522	9868	2566
523	9886	2547
524	9915	2530
525	9935	2512
526	9953	2493
527	9971	2473
528	9989	2454
529	10007	2435
530	10017	2414
531	10035	2395
532	10053	2376
533	10070	2357
534	10088	2338
535	10106	2319
536	10120	2299
537	10139	2280
538	10156	2261
539	10174	2242
540	10191	2223
541	10208	2203
542	10226	2184
543	10244	2165
544	10261	2146
545	10270	2125
546	10287	2106
547	10305	2087
548	10325	2068
549	10343	2049
550	10372	2033
551	10390	2014
552	10407	1994
553	10425	1976
554	10435	1955
555	10452	1936
556	10469	1917
557	10487	1898
558	10505	1879
559	10524	1860
560	10542	1841
561	10559	1822
562	10576	1803
563	10594	1784
564	10612	1765
565	10630	1746
566	10640	1726
567	10657	1707
568	10675	1688
569	10693	1669
570	10702	1649
571	10720	1630
572	10731	1610
573	10749	1591
574	10767	1572
575	10808	1557
576	10826	1538
577	10844	1519
578	10862	1500
579	10879	1481
580	10899	1463
581	10917	1444
582	10934	1425
583	10952	1406
584	10970	1387
585	10988	1368
586	11008	1350
587	11026	1331
588	11045	1312
589	11062	1293
590	11080	1274
591	11098	1256
592	11110	1236
593	11128	1217
594	11146	1198
595	11158	1179
596	11176	1160
597	11193	1141
598	11210	1122
599	11228	1104
600	11257	1086
601	11275	1067
602	11293	1048
603	11312	1030
604	11330	1011
605	11348	992
606	11366	973
607	11383	954
608	11402	936
609	11420	917
610	11437	898
611	11455	879
612	11473	860
613	11503	843
614	11522	824
615	11539	805
616	11557	786
617	11574	767
618	11592	749
619	11611	730
620	11628	711
621	11646	692
622	11664	674
623	11682	655
624	11696	636
625	11715	617
626	11733	598
627	11750	580
628	11768	561
629	11786	542
630	11804	523
631	11821	505
632	11838	486
633	11856	467
634	11874	448
635	11891	430
636	11909	411
637	11926	392
638	11945	373
639	11964	355
640	11982	336
641	12000	317
642	12018	299
643	12037	280
644	12055	261
645	12072	242
646	12081	224
647	12098	205
648	12116	186
649	12147	168
650	12165	149
651	12182	130
652	12212	112
653	12242	93
654	12272	74
655	12289	56
656	12307	37
657	12325	18
658	12343	0
