iter	Logloss
0	0.6705825941
1	0.6520867557
2	0.6360719391
3	0.6192722468
4	0.6031228165
5	0.5882501947
6	0.574626698
7	0.5644195045
8	0.5517658446
9	0.5418637143
10	0.5308991818
11	0.5205762179
12	0.5099237577
13	0.5021064181
14	0.4926634425
15	0.4846541746
16	0.4771717544
17	0.4719747844
18	0.4652940743
19	0.4601430448
20	0.4534101762
21	0.4484572144
22	0.4439967578
23	0.4381900789
24	0.4346489329
25	0.4298758952
26	0.4258082285
27	0.4215733563
28	0.4176801594
29	0.4140780728
30	0.4106002376
31	0.406592304
32	0.4036521395
33	0.4011542078
34	0.3976208517
35	0.3956674848
36	0.3931073877
37	0.3909591011
38	0.3884184196
39	0.3865773492
40	0.3856929178
41	0.3829330683
42	0.3808274882
43	0.3787238341
44	0.3774887398
45	0.3756093785
46	0.3737915824
47	0.3724809187
48	0.3708233483
49	0.3693338612
50	0.3679491709
51	0.3664805736
52	0.3654966785
53	0.3640622825
54	0.3629918081
55	0.3622418373
56	0.3610677992
57	0.3596627042
58	0.3583305755
59	0.3576277682
60	0.3563726813
61	0.3553084822
62	0.3543262338
63	0.3534827729
64	0.352557905
65	0.3518084245
66	0.3511650744
67	0.3500293306
68	0.3491945139
69	0.3485665437
70	0.3480638532
71	0.3473115189
72	0.3466731876
73	0.3458723108
74	0.3452670374
75	0.3447148728
76	0.3439994217
77	0.3436380992
78	0.3431577411
79	0.3426405496
80	0.3420278861
81	0.341601225
82	0.3409084316
83	0.3405433784
84	0.3402016001
85	0.3397231982
86	0.339289609
87	0.3388153095
88	0.3383784301
89	0.3379727219
90	0.3375930919
91	0.3369944783
92	0.3366849059
93	0.336338883
94	0.3360033361
95	0.3357379353
96	0.3353162501
97	0.3347920982
98	0.3343014655
99	0.3337376902
100	0.3334554453
101	0.3329596481
102	0.3325566962
103	0.3323385215
104	0.3321118285
105	0.3318401052
106	0.3314133615
107	0.3311928424
108	0.3308364573
109	0.3304530958
110	0.3300629446
111	0.3298429896
112	0.3295220771
113	0.3293204312
114	0.329023457
115	0.3287255956
116	0.3284018723
117	0.328036367
118	0.3278461636
119	0.3275202995
120	0.3272391703
121	0.3270299854
122	0.3267378074
123	0.326455625
124	0.3260990829
125	0.3258324099
126	0.3256018525
127	0.3254040473
128	0.325160994
129	0.3249528501
130	0.3246546363
131	0.3244102651
132	0.3242696562
133	0.3241054108
134	0.3239480799
135	0.3237853781
136	0.323565804
137	0.3233519469
138	0.3231340093
139	0.3228142693
140	0.3226549161
141	0.3224558763
142	0.3222273277
143	0.32203856
144	0.3218328679
145	0.3216106765
146	0.3213327436
147	0.321173403
148	0.3209965579
149	0.3206401368
150	0.3204331869
151	0.3202526749
152	0.3199789746
153	0.3198313383
154	0.3196664282
155	0.3195235496
156	0.3193463469
157	0.3190305884
158	0.3188100623
159	0.318677104
160	0.3185528994
161	0.3184269517
162	0.318243434
163	0.3181480108
164	0.3180294301
165	0.3179079512
166	0.3177896341
167	0.3176258553
168	0.3174889409
169	0.3172918867
170	0.3171169256
171	0.3169847125
172	0.3168859831
173	0.3166027329
174	0.3163652999
175	0.3161859214
176	0.3160359883
177	0.3158362214
178	0.3156245116
179	0.3154583058
180	0.3153482846
181	0.3151768496
182	0.3150678635
183	0.3148941102
184	0.3147185486
185	0.3145245162
186	0.3144466828
187	0.3143364579
188	0.3142437078
189	0.3140188574
190	0.3138097863
191	0.313710931
192	0.3135328923
193	0.3133543306
194	0.3132613196
195	0.3131450079
196	0.3130045648
197	0.3128900666
198	0.312757124
199	0.3126347566
200	0.3124425302
201	0.312306032
202	0.3121352927
203	0.312042299
204	0.3119102466
205	0.3117694936
206	0.3115766238
207	0.3113812047
208	0.3112264952
209	0.3110161484
210	0.3108535858
211	0.3106525709
212	0.3104893741
213	0.3104176978
214	0.3102249884
215	0.3100993611
216	0.3098836638
217	0.309712832
218	0.3095493023
219	0.3094283779
220	0.3094180382
221	0.3092536327
222	0.3091172255
223	0.3090226746
224	0.3087984474
225	0.3086579082
226	0.308403368
227	0.3082520304
228	0.3081350853
229	0.3080145435
230	0.3078945536
231	0.3077436081
232	0.3075790058
233	0.3074595973
234	0.3074069642
235	0.3072713598
236	0.3071541618
237	0.3070646089
238	0.3069418282
239	0.3068034702
240	0.3066515598
241	0.3065326111
242	0.3063736414
243	0.3062667398
244	0.3061328036
245	0.3060393245
246	0.3058986987
247	0.3058063645
248	0.3057171622
249	0.3055883473
250	0.3055085128
251	0.3054201515
252	0.3051894848
253	0.3050345864
254	0.3048197124
255	0.3046334945
256	0.3044493168
257	0.3043099221
258	0.3042723897
259	0.3041421857
260	0.3040278302
261	0.3038429616
262	0.3037218609
263	0.3036079966
264	0.3034963542
265	0.303270989
266	0.3031056006
267	0.3030141032
268	0.3028975388
269	0.3028231024
270	0.3028082955
271	0.3026579226
272	0.3025367133
273	0.3024682351
274	0.3023123527
275	0.3021863648
276	0.3020386166
277	0.3018258986
278	0.3017560454
279	0.3016438263
280	0.3015003942
281	0.3014347684
282	0.3012008166
283	0.3011318458
284	0.3010707062
285	0.3009200014
286	0.3007953349
287	0.3006622155
288	0.3006438462
289	0.3005697427
290	0.300454555
291	0.3003160522
292	0.3001415201
293	0.3000644676
294	0.2998917402
295	0.299760138
296	0.29963275
297	0.2995259999
298	0.2993252702
299	0.2992329641
300	0.2991062965
301	0.2989409419
302	0.2988171614
303	0.2986497114
304	0.2985039166
305	0.2984677087
306	0.2983644653
307	0.2982727008
308	0.2981332709
309	0.2979964677
310	0.297902298
311	0.2977342239
312	0.2976195058
313	0.2975031358
314	0.2974137063
315	0.2973502711
316	0.297219323
317	0.2971485701
318	0.2969936127
319	0.2968869844
320	0.2966711542
321	0.296514781
322	0.2964039329
323	0.2962859857
324	0.2961981199
325	0.2961078709
326	0.2959802218
327	0.2958985257
328	0.2957967857
329	0.2957205565
330	0.2956514974
331	0.2955569242
332	0.2954392324
333	0.2953003885
334	0.2952815108
335	0.2951886158
336	0.2950816071
337	0.2949747594
338	0.2948670782
339	0.2946941434
340	0.2945716933
341	0.2945003665
342	0.294419164
343	0.294314394
344	0.2942392089
345	0.2940394044
346	0.2939128676
347	0.2937593591
348	0.2936468953
349	0.2935510193
350	0.2934817391
351	0.2933140234
352	0.2931647389
353	0.2930564737
354	0.2929673622
355	0.2928652524
356	0.292742231
357	0.2926383956
358	0.2924279544
359	0.2923616766
360	0.2922124617
361	0.2921503517
362	0.2919784008
