iter	Passed	Remaining
0	5	5036
1	6	3411
2	8	2825
3	10	2592
4	12	2468
5	14	2378
6	16	2378
7	18	2337
8	21	2382
9	23	2339
10	25	2285
11	27	2290
12	30	2313
13	32	2295
14	35	2305
15	38	2392
16	41	2371
17	43	2352
18	45	2333
19	47	2338
20	50	2365
21	54	2424
22	59	2508
23	63	2578
24	66	2592
25	70	2628
26	72	2604
27	75	2611
28	78	2630
29	81	2643
30	86	2713
31	89	2705
32	92	2699
33	94	2677
34	96	2663
35	99	2655
36	101	2644
37	104	2637
38	106	2615
39	108	2603
40	109	2564
41	111	2551
42	113	2535
43	116	2523
44	117	2495
45	119	2476
46	121	2458
47	123	2455
48	126	2456
49	129	2455
50	131	2443
51	135	2469
52	138	2472
53	140	2468
54	142	2451
55	144	2437
56	146	2418
57	148	2408
58	151	2416
59	154	2413
60	156	2403
61	158	2398
62	160	2387
63	162	2382
64	164	2368
65	166	2354
66	168	2344
67	170	2341
68	172	2329
69	174	2320
70	176	2310
71	178	2298
72	180	2286
73	181	2274
74	184	2272
75	186	2263
76	187	2252
77	189	2240
78	191	2232
79	193	2222
80	194	2211
81	197	2206
82	200	2213
83	204	2234
84	207	2231
85	209	2222
86	210	2213
87	212	2204
88	214	2195
89	216	2189
90	218	2181
91	220	2177
92	222	2174
93	224	2168
94	227	2163
95	228	2155
96	231	2150
97	233	2147
98	234	2138
99	237	2138
100	240	2139
101	242	2135
102	244	2130
103	246	2123
104	248	2120
105	251	2118
106	254	2119
107	256	2114
108	257	2108
109	259	2102
110	261	2097
111	264	2096
112	266	2093
113	268	2090
114	272	2094
115	275	2097
116	277	2092
117	279	2089
118	281	2086
119	283	2079
120	285	2072
121	287	2069
122	290	2068
123	292	2068
124	294	2064
125	297	2061
126	298	2055
127	300	2050
128	302	2043
129	304	2037
130	306	2032
131	309	2034
132	312	2037
133	314	2032
134	319	2044
135	320	2038
136	323	2034
137	325	2034
138	328	2033
139	331	2035
140	333	2032
141	336	2031
142	338	2029
143	340	2025
144	342	2021
145	345	2019
146	347	2016
147	349	2013
148	352	2012
149	354	2011
150	357	2009
151	359	2006
152	361	2003
153	363	1998
154	365	1994
155	367	1989
156	369	1983
157	371	1979
158	373	1975
159	377	1983
160	382	1990
161	385	1994
162	387	1992
163	391	1994
164	394	1997
165	398	2002
166	401	2004
167	403	1998
168	406	1997
169	407	1991
170	409	1986
171	411	1981
172	413	1978
173	415	1974
174	418	1971
175	421	1971
176	423	1967
177	425	1964
178	427	1960
179	429	1956
180	431	1953
181	433	1949
182	435	1946
183	438	1943
184	440	1939
185	442	1937
186	444	1934
187	447	1932
188	450	1932
189	453	1933
190	456	1933
191	458	1930
192	461	1930
193	463	1925
194	466	1924
195	468	1921
196	470	1917
197	473	1919
198	476	1918
199	478	1915
200	481	1912
201	482	1907
202	484	1902
203	486	1897
204	487	1892
205	489	1887
206	491	1882
207	493	1877
208	495	1873
209	496	1869
210	498	1864
211	500	1861
212	502	1858
213	505	1855
214	506	1850
215	508	1846
216	510	1842
217	512	1839
218	514	1834
219	516	1829
220	517	1824
221	519	1819
222	521	1815
223	522	1810
224	524	1806
225	525	1801
226	527	1797
227	530	1795
228	532	1792
229	534	1789
230	536	1785
231	537	1780
232	540	1778
233	542	1774
234	543	1770
235	545	1766
236	547	1763
237	549	1760
238	551	1756
239	553	1752
240	554	1747
241	556	1744
242	558	1740
243	560	1736
244	562	1732
245	563	1727
246	565	1723
247	567	1720
248	569	1716
249	570	1712
250	572	1709
251	574	1704
252	576	1700
253	578	1697
254	579	1693
255	581	1690
256	583	1687
257	585	1683
258	587	1680
259	589	1678
260	591	1674
261	593	1670
262	594	1667
263	597	1666
264	602	1670
265	605	1671
266	607	1668
267	609	1664
268	611	1661
269	613	1658
270	616	1657
271	620	1659
272	623	1659
273	625	1657
274	627	1654
275	629	1651
276	632	1649
277	634	1646
278	636	1645
279	640	1646
280	643	1646
281	645	1642
282	648	1642
283	655	1651
284	657	1649
285	659	1645
286	661	1642
287	662	1638
288	664	1634
289	666	1631
290	668	1628
291	669	1624
292	671	1620
293	675	1621
294	677	1620
295	679	1616
296	681	1612
297	683	1608
298	685	1605
299	686	1602
300	688	1598
301	690	1594
302	691	1591
303	694	1589
304	696	1586
305	699	1585
306	701	1584
307	703	1581
308	707	1581
309	709	1578
310	711	1575
311	712	1571
312	714	1568
313	717	1566
314	719	1563
315	721	1561
316	723	1558
317	725	1555
318	727	1552
319	728	1548
320	730	1545
321	732	1542
322	734	1538
323	735	1535
324	737	1531
325	739	1528
326	741	1525
327	742	1521
328	744	1518
329	746	1515
330	748	1513
331	752	1513
332	754	1510
333	755	1506
334	757	1503
335	758	1499
336	760	1496
337	762	1493
338	764	1490
339	766	1487
340	768	1485
341	770	1481
342	771	1478
343	773	1475
344	777	1476
345	779	1473
346	781	1471
347	783	1468
348	785	1465
349	787	1463
350	789	1460
351	793	1459
352	795	1458
353	809	1476
354	813	1477
355	815	1474
356	817	1472
357	819	1469
358	821	1467
359	824	1464
360	825	1461
361	828	1460
362	831	1458
363	834	1457
364	839	1459
365	841	1457
366	843	1455
367	845	1452
368	847	1449
369	849	1445
370	850	1442
371	852	1439
372	854	1436
373	856	1433
374	857	1429
375	859	1426
376	861	1423
377	863	1420
378	864	1416
379	866	1413
380	868	1410
381	870	1407
382	871	1404
383	873	1401
384	875	1397
385	877	1395
386	878	1392
387	880	1388
388	882	1385
389	883	1382
390	886	1380
391	888	1377
392	890	1375
393	892	1372
394	893	1369
395	895	1366
396	897	1363
397	899	1360
398	901	1357
399	902	1354
400	904	1351
401	906	1348
402	908	1345
403	910	1342
404	911	1339
405	913	1336
406	915	1333
407	917	1330
408	919	1328
409	920	1324
410	922	1322
411	924	1319
412	926	1317
413	928	1314
414	930	1311
415	932	1308
416	934	1306
417	937	1304
418	939	1303
419	941	1300
420	943	1297
421	945	1294
422	946	1291
423	948	1288
424	950	1285
425	952	1283
426	954	1280
427	955	1277
428	957	1274
429	959	1272
430	961	1269
431	963	1267
432	966	1265
433	968	1262
434	970	1259
435	971	1257
436	973	1254
437	975	1251
438	977	1248
439	978	1245
440	980	1242
441	982	1240
442	984	1237
443	985	1234
444	988	1232
445	990	1229
446	991	1226
447	993	1223
448	995	1221
449	996	1218
450	998	1215
451	1000	1212
452	1002	1210
453	1003	1207
454	1005	1204
455	1007	1202
456	1009	1199
457	1011	1196
458	1013	1194
459	1014	1191
460	1016	1188
461	1018	1185
462	1019	1182
463	1021	1180
464	1023	1177
465	1025	1174
466	1027	1173
467	1029	1170
468	1032	1168
469	1034	1166
470	1037	1165
471	1040	1164
472	1042	1161
473	1044	1159
474	1046	1156
475	1048	1153
476	1050	1151
477	1052	1149
478	1054	1147
479	1056	1144
480	1058	1142
481	1060	1139
482	1062	1136
483	1064	1135
484	1067	1133
485	1069	1130
486	1071	1128
487	1073	1126
488	1075	1123
489	1077	1121
490	1079	1118
491	1081	1116
492	1082	1113
493	1085	1111
494	1088	1110
495	1090	1107
496	1091	1104
497	1093	1102
498	1095	1099
499	1096	1096
500	1098	1094
501	1100	1091
502	1101	1088
503	1103	1085
504	1105	1083
505	1106	1080
506	1108	1078
507	1110	1075
508	1111	1072
509	1113	1070
510	1115	1067
511	1116	1064
512	1118	1062
513	1120	1059
514	1122	1056
515	1123	1054
516	1125	1051
517	1127	1048
518	1128	1046
519	1130	1043
520	1132	1040
521	1133	1038
522	1136	1036
523	1137	1033
524	1139	1031
525	1141	1028
526	1143	1026
527	1144	1023
528	1146	1020
529	1148	1018
530	1149	1015
531	1151	1013
532	1153	1010
533	1154	1007
534	1157	1005
535	1158	1003
536	1160	1000
537	1162	998
538	1164	996
539	1166	993
540	1168	991
541	1170	988
542	1171	986
543	1173	983
544	1175	981
545	1177	978
546	1178	976
547	1180	973
548	1182	971
549	1184	968
550	1185	966
551	1187	963
552	1189	961
553	1190	958
554	1192	956
555	1194	953
556	1195	951
557	1197	948
558	1199	946
559	1201	943
560	1202	941
561	1204	938
562	1206	936
563	1208	933
564	1209	931
565	1211	928
566	1213	926
567	1214	923
568	1216	921
569	1218	919
570	1220	916
571	1221	914
572	1223	912
573	1225	909
574	1228	908
575	1230	905
576	1232	903
577	1235	901
578	1237	899
579	1239	897
580	1241	895
581	1243	893
582	1246	891
583	1247	888
584	1249	886
585	1251	884
586	1253	882
587	1256	880
588	1258	878
589	1260	876
590	1263	874
591	1265	872
592	1267	869
593	1269	867
594	1271	865
595	1273	863
596	1276	861
597	1278	859
598	1283	859
599	1285	857
600	1289	855
601	1291	853
602	1293	851
603	1295	849
604	1297	847
605	1301	845
606	1303	843
